Артикул;pname;"prevprice";;;"curprice";;;cengroup;"ostatki";nds?;CURRENCY
0337;0337 WERNER Силиконовая подставка под горячее 3 в 1. Размеры: 19.5х19.2х0.7 см;667,00;руб.;шт;467,00;руб.;шт;Акция -30%;50;N;RUB
0340;Нагрудник детский 31х24см. Материал: силикон. Цвет: розовый.;;руб.;шт;507,00;руб.;шт;Новинки;50;N;RUB
0341;Нагрудник детский 31х24см. Материал: силикон. Цвет: голубой;;руб.;шт;507,00;руб.;шт;Новинки;50;N;RUB
0342;Нагрудник детский 27х21см. Материал: силикон. Цвет: голубой;;руб.;шт;768,00;руб.;шт;Новинки;50;N;RUB
0343;Нагрудник детский 27х21см. Материал: силикон. Цвет: розовый;;руб.;шт;768,00;руб.;шт;Новинки;50;N;RUB
0344;Салфетка настольная детская KIDS, 40х30см. Материал: силикон. Цвет: голубой;746,00;руб.;шт;448,00;руб.;шт;Акция -40%;50;N;RUB
0345;Салфетка настольная детская KIDS, 40х30см. Материал: силикон. Цвет: розовый;746,00;руб.;шт;448,00;руб.;шт;Акция -40%;50;N;RUB
0347;Рукавица силиконовая TONIA 37х19см. Цвет: зеленый. Материал: силикон, хлопок;938,00;руб.;шт;563,00;руб.;шт;Акция -40%;50;N;RUB
0348;Рукавица силиконовая TONIA 37х19см. Цвет: розовый. Материал: силикон, хлопок.;938,00;руб.;шт;563,00;руб.;шт;Акция -40%;50;N;RUB
0349;Сковорода FELICITA 14х2,5см из литого алюминия с премиальным керамическим покрытием EXCILON с ручкой с покрытием Soft touch. Толщина 2,5мм;;руб.;шт;1443,00;руб.;шт;Новинки;50;N;RUB
0350;Сковорода FELICITA 14х3,3см из литого алюминия с премиальным керамическим покрытием EXCILON с ручкой с покрытием Soft touch. Толщина 2,5мм;;руб.;шт;1443,00;руб.;шт;Новинки;50;N;RUB
0351;Ковш FELICITA 10х7,2см/0,4л из литого алюминия с премиальным керамическим покрытием EXCILON со стеклянной крышкой с ручкой с покрытием Soft touch. Толщина 2,5мм;;руб.;шт;1749,00;руб.;шт;Новинки;50;N;RUB
0352;Кастрюля FELICITA 12х6,5см/0,5л из литого алюминия с премиальным керамическим покрытием EXCILON со стеклянной крышкой с силиконовыми ручками. Толщина 2,5мм;;руб.;шт;1749,00;руб.;шт;Новинки;50;N;RUB
0389;0389 Сковорода MELANIA 20см с трехслойным дном, с антипригарным покрытием 3D ILAG Black. Материал: нерж. сталь 18/10;;руб.;шт;6150,00;руб.;шт;Новинки;50;N;RUB
0390;0390 Сковорода MELANIA 24см с трехслойным дном, с антипригарным покрытием 3D ILAG Black. Материал: нерж. сталь 18/10;;руб.;шт;7664,00;руб.;шт;Новинки;50;N;RUB
0391;0391 Сковорода MELANIA 28см с трехслойным дном, с антипригарным покрытием 3D ILAG Black. Материал: нерж. сталь 18/10;;руб.;шт;8510,00;руб.;шт;Новинки;50;N;RUB
0392;Сковорода SUPER NOVO 20см c ручкой из нержавеющей стали, антипригарным покрытием Xylan dazzle blue и индукционным дном. Материал: алюминиевый сплав. Толщина: 2,8мм. Цвет ручки: стальной;;руб.;шт;2397,00;руб.;шт;Новинки;50;N;RUB
